0;1;2
ORGANIZATION;investigate;unnatural storm
PERSON;investigate;CAUSE_OF_DEATH
ORGANIZATION;investigate;CAUSE_OF_DEATH
PERSON;investigate;unnatural storm
PERSON;fight;creature
ORGANIZATION;completes;its academic year
school;organizes;trip
PERSON;confess;his feelings
Happy Hogan;informs;PERSON
ORGANIZATION;contact;PERSON
PERSON;travel;CITY
PERSON;travel to;Venice Italy
his classmates;travel to;Venice Italy
PERSON; is; Spider Man
PERSON;helps;classmates
PERSON;protect;his classmates
ORGANIZATION;meets with;PERSON
ORGANIZATION;gives;Stark 's glasses
PERSON;has;glasses
glasses;are equipped with;artificial intelligence E.D.I.T.H.
access;commands;large orbital weapons supply
PERSON;claims;hail from alternate reality within Multiverse
PERSON;hail from;alternate reality
MISC;killed;his family
Fire Elemental;appear in;CITY
PERSON;declines;invitation
ORGANIZATION;has;invitation join against Elementals
school trip;has;itinerary
PERSON;destroy;Fire Elemental
PERSON;destroy Fire with;Parker 's help
ORGANIZATION;invite Parker to;CITY
PERSON;invite Beck to;CITY
PERSON;invite Parker to;CITY
ORGANIZATION;invite Beck to;CITY
PERSON;travels;CITY
PERSON;bequeaths;him E.D.I.T.H. glasses
PERSON;PERSON;secretly former holographic illusions specialist
PERSON;PERSON;former holographic illusions specialist at Stark Industries
PERSON;leads;team of disgruntled employees
PERSON;leads;team of ex-Stark employees
PERSON;leads;team of employees
their plan;gain access to;ORGANIZATION
Elemental attacks;masquerade as;hero
orbital weapons system;has;drones increase
PERSON;is hit by;CRIMINAL_CHARGE
They;discover;simulation
PERSON;PERSON;CRIMINAL_CHARGE
PERSON;meet with;ORGANIZATION
PERSON;hit;illusion
PERSON;carried away to;COUNTRY
his classmates;are on;their way home
PERSON;uses;ORGANIZATION
ORGANIZATION;orchestrate;his biggest illusion
PERSON;has;friends
PERSON;disrupt;illusion
drones;CAUSE_OF_DEATH;PERSON
PERSON;dies;wounds
PERSON;dies from;wounds
TITLE;escapes with;data from drones
PERSON;begins;relationship
PERSON;doctored;footage
broadcasts;doctored;footage of London incident
MISC;has;secret identity
